,Airline,Source,Destination,Price,Day_of_Journey,Month_of_Journey,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_Hours,Duration_Minutes,No_of_stops,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Chennai,Delhi,Kolkata,Mumbai,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Vistara,Airline_Vistara Premium economy
0,Multiple carriers,Delhi,Cochin,15200,9,3,15,15,1,35,10,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,Jet Airways,Delhi,Cochin,13014,1,6,9,40,12,35,26,55,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,Jet Airways,Delhi,Cochin,14714,27,6,7,5,12,35,5,30,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,Jet Airways,Banglore,New Delhi,11087,9,3,8,0,21,20,13,20,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Jet Airways,Kolkata,Banglore,13759,24,3,8,25,16,20,7,55,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,Multiple carriers,Delhi,Cochin,9526,15,6,10,20,19,15,8,55,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6,Multiple carriers,Delhi,Cochin,13587,15,6,9,0,21,0,12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7,IndiGo,Banglore,Delhi,3943,3,4,10,10,13,0,2,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Jet Airways,Kolkata,Banglore,8586,12,5,20,0,4,40,8,40,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9,IndiGo,Delhi,Cochin,6573,9,4,16,0,1,30,9,30,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
10,Jet Airways,Kolkata,Banglore,13626,12,6,6,30,18,15,11,45,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
11,Jet Airways,Delhi,Cochin,14714,27,6,9,0,19,0,10,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
12,Vistara,Kolkata,Banglore,8452,6,5,20,20,22,40,26,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Jet Airways,Kolkata,Banglore,10844,6,6,21,10,9,20,12,10,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
14,Multiple carriers Premium economy,Delhi,Cochin,11269,21,3,8,55,15,30,6,35,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
15,Multiple carriers,Delhi,Cochin,15078,9,5,13,0,1,30,12,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,Jet Airways,Delhi,Cochin,13029,9,5,5,30,4,25,22,55,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
17,IndiGo,Delhi,Cochin,5636,9,5,7,15,12,30,5,15,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18,Air India,Kolkata,Banglore,16057,15,5,10,0,13,45,27,45,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
19,Air India,Delhi,Cochin,6587,24,6,5,15,6,50,25,35,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20,IndiGo,Banglore,Delhi,4823,15,4,18,55,21,50,2,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,IndiGo,Kolkata,Banglore,5644,21,4,14,25,16,55,2,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
22,Jet Airways,Kolkata,Banglore,12681,1,4,8,25,18,15,9,50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
23,Multiple carriers,Delhi,Cochin,14486,21,3,7,5,13,20,6,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
24,IndiGo,Kolkata,Banglore,7476,24,3,15,10,19,50,4,40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
25,Jet Airways,Banglore,New Delhi,22270,1,3,14,5,7,40,17,35,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,Multiple carriers,Delhi,Cochin,9103,9,5,10,35,19,0,8,25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27,Jet Airways,Banglore,Delhi,6144,24,5,19,50,22,50,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,Jet Airways,Kolkata,Banglore,8586,21,5,6,30,10,5,27,35,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
29,Multiple carriers,Delhi,Cochin,7618,24,6,8,0,21,0,13,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
30,Multiple carriers,Delhi,Cochin,17057,3,3,2,15,11,30,9,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
31,Multiple carriers Premium economy,Delhi,Cochin,10161,21,3,7,30,19,15,11,45,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32,Air India,Delhi,Cochin,11228,21,3,12,55,19,15,30,20,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
33,Air India,Mumbai,Hyderabad,3100,24,5,13,55,15,25,1,30,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
34,Multiple carriers,Delhi,Cochin,11789,12,6,8,45,19,0,10,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
35,Multiple carriers,Delhi,Cochin,8018,15,6,13,15,22,30,9,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
